donor,stage,source,gene,nCells,raw_mean,dm_mean,det1,det2
64,NASH w/o cirrhosis,needle_biopsy,ATF3,750,0.0467,0.0118,0.0453,0.0013
64,NASH w/o cirrhosis,needle_biopsy,DUSP1,750,0.0893,0.0118,0.0747,0.0107
64,NASH w/o cirrhosis,needle_biopsy,HSPA1A,750,0.0107,0.0014,0.0107,0.0
64,NASH w/o cirrhosis,needle_biopsy,HSPA1B,750,0.0093,0.0014,0.0093,0.0
64,NASH w/o cirrhosis,needle_biopsy,stress_mod,750,0.4373,0.0788,0.3107,0.0907
67,NASH w/o cirrhosis,needle_biopsy,FOS,1496,0.0,0.0,0.0,0.0
67,NASH w/o cirrhosis,needle_biopsy,JUN,1496,0.0481,0.016,0.0428,0.0053
67,NASH w/o cirrhosis,needle_biopsy,JUNB,1496,0.0094,0.0034,0.0094,0.0
67,NASH w/o cirrhosis,needle_biopsy,JUND,1496,0.0368,0.0153,0.0368,0.0
67,NASH w/o cirrhosis,needle_biopsy,ATF3,1496,0.0221,0.0071,0.0201,0.002
67,NASH w/o cirrhosis,needle_biopsy,DUSP1,1496,0.0287,0.0089,0.0274,0.0013
67,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1496,0.0201,0.0059,0.0201,0.0
67,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1496,0.0107,0.0032,0.0107,0.0
67,NASH w/o cirrhosis,needle_biopsy,stress_mod,1496,0.1758,0.0601,0.1517,0.0214
68,NASH with cirrhosis,needle_biopsy,FOS,518,0.0058,0.0011,0.0058,0.0
68,NASH with cirrhosis,needle_biopsy,JUN,518,0.0618,0.0233,0.056,0.0039
68,NASH with cirrhosis,needle_biopsy,JUNB,518,0.0193,0.0069,0.0193,0.0
68,NASH with cirrhosis,needle_biopsy,JUND,518,0.1486,0.0518,0.1255,0.0193
68,NASH with cirrhosis,needle_biopsy,ATF3,518,0.0425,0.0169,0.0386,0.0039
68,NASH with cirrhosis,needle_biopsy,DUSP1,518,0.0483,0.019,0.0425,0.0039
68,NASH with cirrhosis,needle_biopsy,HSPA1A,518,0.0193,0.0095,0.0174,0.0019
68,NASH with cirrhosis,needle_biopsy,HSPA1B,518,0.0135,0.0037,0.0135,0.0
68,NASH with cirrhosis,needle_biopsy,stress_mod,518,0.3591,0.1342,0.2664,0.0637
7,NASH w/o cirrhosis,needle_biopsy,FOS,2096,0.0005,0.0,0.0005,0.0
7,NASH w/o cirrhosis,needle_biopsy,JUN,2096,0.0611,0.0158,0.0549,0.0048
7,NASH w/o cirrhosis,needle_biopsy,JUNB,2096,0.0105,0.0027,0.01,0.0005
7,NASH w/o cirrhosis,needle_biopsy,JUND,2096,0.0725,0.0213,0.0644,0.0081
7,NASH w/o cirrhosis,needle_biopsy,ATF3,2096,0.0248,0.0048,0.0229,0.0019
7,NASH w/o cirrhosis,needle_biopsy,DUSP1,2096,0.1145,0.0245,0.1002,0.0134
7,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2096,0.0477,0.0108,0.0429,0.0038
7,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2096,0.0105,0.0038,0.0105,0.0
7,NASH w/o cirrhosis,needle_biopsy,stress_mod,2096,0.3421,0.0828,0.261,0.0606
70,NASH w/o cirrhosis,needle_biopsy,FOS,243,0.0041,0.0,0.0041,0.0
70,NASH w/o cirrhosis,needle_biopsy,JUN,243,0.1358,0.0195,0.1029,0.0247
70,NASH w/o cirrhosis,needle_biopsy,JUNB,243,0.0494,0.0113,0.0453,0.0041
70,NASH w/o cirrhosis,needle_biopsy,JUND,243,0.3086,0.0484,0.2469,0.0535
70,NASH w/o cirrhosis,needle_biopsy,ATF3,243,0.037,0.0062,0.0329,0.0041
70,NASH w/o cirrhosis,needle_biopsy,DUSP1,243,0.0576,0.0093,0.0535,0.0041
70,NASH w/o cirrhosis,needle_biopsy,HSPA1A,243,0.0206,0.0021,0.0165,0.0041
70,NASH w/o cirrhosis,needle_biopsy,HSPA1B,243,0.0082,0.001,0.0082,0.0
70,NASH w/o cirrhosis,needle_biopsy,stress_mod,243,0.6214,0.1008,0.3992,0.1523
71,NASH w/o cirrhosis,needle_biopsy,FOS,137,0.0073,0.0,0.0073,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUN,137,0.0146,0.0177,0.0146,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUNB,137,0.0292,0.0202,0.0292,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUND,137,0.146,0.1086,0.1314,0.0146
71,NASH w/o cirrhosis,needle_biopsy,ATF3,137,0.0438,0.0303,0.0438,0.0
71,NASH w/o cirrhosis,needle_biopsy,DUSP1,137,0.0657,0.0278,0.0657,0.0
71,NASH w/o cirrhosis,needle_biopsy,HSPA1A,137,0.0,0.0,0.0,0.0
71,NASH w/o cirrhosis,needle_biopsy,HSPA1B,137,0.0,0.0,0.0,0.0
71,NASH w/o cirrhosis,needle_biopsy,stress_mod,137,0.3066,0.2096,0.2774,0.0292
72,NASH w/o cirrhosis,needle_biopsy,FOS,676,0.0178,0.002,0.0163,0.0015
72,NASH w/o cirrhosis,needle_biopsy,JUN,676,0.1509,0.0286,0.1124,0.0281
72,NASH w/o cirrhosis,needle_biopsy,JUNB,676,0.0533,0.0067,0.0429,0.0104
72,NASH w/o cirrhosis,needle_biopsy,JUND,676,0.2012,0.0404,0.1746,0.0207
72,NASH w/o cirrhosis,needle_biopsy,ATF3,676,0.0814,0.0172,0.0754,0.0059
72,NASH w/o cirrhosis,needle_biopsy,DUSP1,676,0.1243,0.0243,0.108,0.0133
72,NASH w/o cirrhosis,needle_biopsy,HSPA1A,676,0.0533,0.0078,0.0429,0.0104
72,NASH w/o cirrhosis,needle_biopsy,HSPA1B,676,0.0192,0.0031,0.0192,0.0
72,NASH w/o cirrhosis,needle_biopsy,stress_mod,676,0.7012,0.1324,0.4068,0.1598
73,NASH w/o cirrhosis,needle_biopsy,FOS,1071,0.0019,0.0,0.0019,0.0
73,NASH w/o cirrhosis,needle_biopsy,JUN,1071,0.0364,0.0036,0.0308,0.0037
73,NASH w/o cirrhosis,needle_biopsy,JUNB,1071,0.0233,0.0041,0.0224,0.0009
73,NASH w/o cirrhosis,needle_biopsy,JUND,1071,0.0598,0.0118,0.0588,0.0009
73,NASH w/o cirrhosis,needle_biopsy,ATF3,1071,0.0355,0.0072,0.0345,0.0009
73,NASH w/o cirrhosis,needle_biopsy,DUSP1,1071,0.0915,0.0147,0.0803,0.0084
73,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1071,0.014,0.001,0.0131,0.0009
73,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1071,0.0065,0.0012,0.0065,0.0
73,NASH w/o cirrhosis,needle_biopsy,stress_mod,1071,0.2689,0.0444,0.2035,0.0486
75,NASH with cirrhosis,needle_biopsy,FOS,444,0.0,0.0,0.0,0.0
75,NASH with cirrhosis,needle_biopsy,JUN,444,0.1014,0.0243,0.0721,0.0158
75,NASH with cirrhosis,needle_biopsy,JUNB,444,0.045,0.0053,0.036,0.0045
75,NASH with cirrhosis,needle_biopsy,JUND,444,0.1261,0.0219,0.1171,0.0068
75,NASH with cirrhosis,needle_biopsy,ATF3,444,0.0315,0.0041,0.0293,0.0023
75,NASH with cirrhosis,needle_biopsy,DUSP1,444,0.0608,0.0124,0.0518,0.0068
75,NASH with cirrhosis,needle_biopsy,HSPA1A,444,0.018,0.0018,0.018,0.0
75,NASH with cirrhosis,needle_biopsy,HSPA1B,444,0.0135,0.0024,0.0113,0.0023
75,NASH with cirrhosis,needle_biopsy,stress_mod,444,0.3964,0.0741,0.2815,0.0721
76,NASH w/o cirrhosis,needle_biopsy,FOS,718,0.0014,0.0,0.0014,0.0
76,NASH w/o cirrhosis,needle_biopsy,JUN,718,0.1114,0.0112,0.0891,0.0139
76,NASH w/o cirrhosis,needle_biopsy,JUNB,718,0.0669,0.0086,0.0571,0.0097
76,NASH w/o cirrhosis,needle_biopsy,JUND,718,0.1532,0.018,0.1295,0.0181
76,NASH w/o cirrhosis,needle_biopsy,ATF3,718,0.0571,0.0076,0.0515,0.0056
76,NASH w/o cirrhosis,needle_biopsy,DUSP1,718,0.0474,0.0061,0.0432,0.0028
76,NASH w/o cirrhosis,needle_biopsy,HSPA1A,718,0.0362,0.0022,0.032,0.0028
76,NASH w/o cirrhosis,needle_biopsy,HSPA1B,718,0.0139,0.0007,0.0111,0.0014
76,NASH w/o cirrhosis,needle_biopsy,stress_mod,718,0.4875,0.0569,0.3231,0.0975
77,NASH w/o cirrhosis,needle_biopsy,FOS,762,0.0026,0.0007,0.0026,0.0
77,NASH w/o cirrhosis,needle_biopsy,JUN,762,0.0367,0.0095,0.0315,0.0052
77,NASH w/o cirrhosis,needle_biopsy,JUNB,762,0.0262,0.0032,0.0236,0.0026
77,NASH w/o cirrhosis,needle_biopsy,JUND,762,0.0761,0.0123,0.0709,0.0052
77,NASH w/o cirrhosis,needle_biopsy,ATF3,762,0.0538,0.0112,0.0512,0.0026
77,NASH w/o cirrhosis,needle_biopsy,DUSP1,762,0.0512,0.0077,0.0446,0.0052
77,NASH w/o cirrhosis,needle_biopsy,HSPA1A,762,0.0157,0.0014,0.0131,0.0013
77,NASH w/o cirrhosis,needle_biopsy,HSPA1B,762,0.0105,0.0018,0.0105,0.0
77,NASH w/o cirrhosis,needle_biopsy,stress_mod,762,0.273,0.0492,0.2113,0.0472
78,NAFLD,needle_biopsy,FOS,1121,0.0,0.0,0.0,0.0
78,NAFLD,needle_biopsy,JUN,1121,0.0161,0.0041,0.0161,0.0
78,NAFLD,needle_biopsy,JUNB,1121,0.0089,0.0025,0.0089,0.0
78,NAFLD,needle_biopsy,JUND,1121,0.041,0.01,0.0375,0.0036
78,NAFLD,needle_biopsy,ATF3,1121,0.0277,0.0095,0.025,0.0027
78,NAFLD,needle_biopsy,DUSP1,1121,0.0312,0.0082,0.0294,0.0018
78,NAFLD,needle_biopsy,HSPA1A,1121,0.0116,0.0018,0.0107,0.0009
78,NAFLD,needle_biopsy,HSPA1B,1121,0.0036,0.0007,0.0036,0.0
78,NAFLD,needle_biopsy,stress_mod,1121,0.1401,0.0381,0.1169,0.0205
8,NASH w/o cirrhosis,needle_biopsy,FOS,2876,0.0007,0.0002,0.0007,0.0
8,NASH w/o cirrhosis,needle_biopsy,JUN,2876,0.0435,0.0072,0.0386,0.0035
8,NASH w/o cirrhosis,needle_biopsy,JUNB,2876,0.0195,0.0034,0.0191,0.0003
8,NASH w/o cirrhosis,needle_biopsy,JUND,2876,0.0643,0.0103,0.0598,0.0045
8,NASH w/o cirrhosis,needle_biopsy,ATF3,2876,0.0487,0.0074,0.0414,0.0049
8,NASH w/o cirrhosis,needle_biopsy,DUSP1,2876,0.0942,0.0164,0.0817,0.0097
8,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2876,0.0205,0.0021,0.0188,0.0017
8,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2876,0.0059,0.0012,0.0056,0.0003
8,NASH w/o cirrhosis,needle_biopsy,stress_mod,2876,0.2973,0.0489,0.2298,0.0511
83,NASH w/o cirrhosis,needle_biopsy,FOS,225,0.0,0.0,0.0,0.0
83,NASH w/o cirrhosis,needle_biopsy,JUN,225,0.0533,0.0102,0.0311,0.0133
83,NASH w/o cirrhosis,needle_biopsy,JUNB,225,0.0356,0.0102,0.0356,0.0
83,NASH w/o cirrhosis,needle_biopsy,JUND,225,0.1378,0.0698,0.1244,0.0133
83,NASH w/o cirrhosis,needle_biopsy,ATF3,225,0.0978,0.0305,0.0889,0.0044
83,NASH w/o cirrhosis,needle_biopsy,DUSP1,225,0.0711,0.0233,0.0667,0.0044
83,NASH w/o cirrhosis,needle_biopsy,HSPA1A,225,0.0178,0.0029,0.0178,0.0
83,NASH w/o cirrhosis,needle_biopsy,HSPA1B,225,0.0,0.0,0.0,0.0
83,NASH w/o cirrhosis,needle_biopsy,stress_mod,225,0.4133,0.1439,0.2622,0.0978
84,NAFLD,needle_biopsy,FOS,301,0.0,0.0,0.0,0.0
84,NAFLD,needle_biopsy,JUN,301,0.0266,0.0052,0.0233,0.0033
84,NAFLD,needle_biopsy,JUNB,301,0.0233,0.0052,0.0233,0.0
84,NAFLD,needle_biopsy,JUND,301,0.0365,0.0078,0.0332,0.0033
84,NAFLD,needle_biopsy,ATF3,301,0.0432,0.0104,0.0432,0.0
84,NAFLD,needle_biopsy,DUSP1,301,0.1262,0.0217,0.103,0.0166
84,NAFLD,needle_biopsy,HSPA1A,301,0.0233,0.0035,0.0233,0.0
84,NAFLD,needle_biopsy,HSPA1B,301,0.0133,0.0017,0.0133,0.0
84,NAFLD,needle_biopsy,stress_mod,301,0.2924,0.0556,0.2292,0.0498
9,NASH w/o cirrhosis,needle_biopsy,FOS,2917,0.0,0.0,0.0,0.0
9,NASH w/o cirrhosis,needle_biopsy,JUN,2917,0.0219,0.0052,0.0202,0.0017
9,NASH w/o cirrhosis,needle_biopsy,JUNB,2917,0.0048,0.0011,0.0045,0.0003
9,NASH w/o cirrhosis,needle_biopsy,JUND,2917,0.0267,0.0062,0.0257,0.001
9,NASH w/o cirrhosis,needle_biopsy,ATF3,2917,0.0192,0.0051,0.0178,0.0014
9,NASH w/o cirrhosis,needle_biopsy,DUSP1,2917,0.025,0.0065,0.0237,0.0014
9,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2917,0.0158,0.0038,0.0154,0.0003
9,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2917,0.0041,0.0006,0.0041,0.0
9,NASH w/o cirrhosis,needle_biopsy,stress_mod,2917,0.1176,0.0274,0.1039,0.012
98,Healthy control,healthy(deceased-donor),FOS,297,0.0572,0.0018,0.0034,0.0034
98,Healthy control,healthy(deceased-donor),JUN,297,0.2222,0.019,0.1145,0.0303
98,Healthy control,healthy(deceased-donor),JUNB,297,0.0471,0.0036,0.037,0.0034
98,Healthy control,healthy(deceased-donor),JUND,297,0.1616,0.0181,0.1279,0.0135
98,Healthy control,healthy(deceased-donor),ATF3,297,0.1987,0.0109,0.0606,0.0034
98,Healthy control,healthy(deceased-donor),DUSP1,297,0.0976,0.0136,0.0707,0.0135
98,Healthy control,healthy(deceased-donor),HSPA1A,297,0.0976,0.0072,0.0404,0.0135
98,Healthy control,healthy(deceased-donor),HSPA1B,297,0.0236,0.0,0.0202,0.0034
98,Healthy control,healthy(deceased-donor),stress_mod,297,0.9057,0.0725,0.3535,0.1145
CL103,end stage,explant,FOS,2065,0.5879,0.0897,0.2901,0.1201
CL103,end stage,explant,JUN,2065,1.9056,0.2649,0.6194,0.385
CL103,end stage,explant,JUNB,2065,0.5182,0.0753,0.2964,0.108
CL103,end stage,explant,JUND,2065,0.8935,0.1529,0.4751,0.2029
CL103,end stage,explant,ATF3,2065,1.2383,0.1793,0.4068,0.2199
CL103,end stage,explant,DUSP1,2065,1.6155,0.2369,0.6257,0.3705
CL103,end stage,explant,HSPA1A,2065,0.7971,0.1091,0.3201,0.1613
CL103,end stage,explant,HSPA1B,2065,0.4881,0.0754,0.2354,0.1075
CL103,end stage,explant,stress_mod,2065,8.0441,1.1844,0.9482,0.8426
CL104,end stage,explant,FOS,1960,0.3648,0.1996,0.2332,0.0791
CL104,end stage,explant,JUN,1960,0.8372,0.2892,0.4357,0.1577
CL104,end stage,explant,JUNB,1960,0.326,0.1182,0.225,0.0526
CL104,end stage,explant,JUND,1960,0.2372,0.1064,0.1781,0.0301
CL104,end stage,explant,ATF3,1960,0.2199,0.092,0.1469,0.026
CL104,end stage,explant,DUSP1,1960,0.7311,0.358,0.4571,0.1643
CL104,end stage,explant,HSPA1A,1960,0.6597,0.3648,0.3112,0.1724
CL104,end stage,explant,HSPA1B,1960,0.3985,0.2221,0.2337,0.0939
CL104,end stage,explant,stress_mod,1960,3.7745,1.756,0.8403,0.652
CL16,end stage,explant,FOS,6117,1.0007,0.1918,0.3497,0.188
CL16,end stage,explant,JUN,6117,4.8915,1.0072,0.7654,0.581
CL16,end stage,explant,JUNB,6117,0.2485,0.0528,0.169,0.0502
CL16,end stage,explant,JUND,6117,1.3335,0.2773,0.5359,0.3016
CL16,end stage,explant,ATF3,6117,2.1457,0.4302,0.5141,0.3384
CL16,end stage,explant,DUSP1,6117,2.092,0.4245,0.7113,0.4713
CL16,end stage,explant,HSPA1A,6117,2.1965,0.4696,0.5272,0.3487
CL16,end stage,explant,HSPA1B,6117,0.7234,0.157,0.3366,0.164
CL16,end stage,explant,stress_mod,6117,14.6317,3.0063,0.9686,0.912
CL17,end stage,explant,FOS,4305,0.0695,0.0179,0.0502,0.0116
CL17,end stage,explant,JUN,4305,0.5001,0.1138,0.276,0.1045
CL17,end stage,explant,JUNB,4305,0.1294,0.0272,0.1029,0.0193
CL17,end stage,explant,JUND,4305,0.6885,0.169,0.3784,0.1568
CL17,end stage,explant,ATF3,4305,0.3998,0.0927,0.2244,0.079
CL17,end stage,explant,DUSP1,4305,1.1526,0.2685,0.5515,0.2797
CL17,end stage,explant,HSPA1A,4305,0.6216,0.1537,0.2397,0.1175
CL17,end stage,explant,HSPA1B,4305,0.2293,0.0585,0.1452,0.0481
CL17,end stage,explant,stress_mod,4305,3.7907,0.9091,0.8279,0.6325
CL18,end stage,explant,FOS,8650,0.1584,0.0367,0.1015,0.0284
CL18,end stage,explant,JUN,8650,1.0787,0.2626,0.5016,0.2531
CL18,end stage,explant,JUNB,8650,0.1423,0.0352,0.1142,0.0207
CL18,end stage,explant,JUND,8650,0.5868,0.1525,0.3393,0.1316
CL18,end stage,explant,ATF3,8650,0.5227,0.1162,0.2695,0.1062
CL18,end stage,explant,DUSP1,8650,1.514,0.3968,0.6584,0.3821
CL18,end stage,explant,HSPA1A,8650,1.4696,0.4236,0.4317,0.2671
CL18,end stage,explant,HSPA1B,8650,0.3748,0.0985,0.2264,0.0829
CL18,end stage,explant,stress_mod,8650,5.8473,1.519,0.9266,0.8082
HL1,Healthy control,healthy(deceased-donor),FOS,1640,0.0329,0.0109,0.0299,0.0018
HL1,Healthy control,healthy(deceased-donor),JUN,1640,0.4476,0.0911,0.2372,0.1055
HL1,Healthy control,healthy(deceased-donor),JUNB,1640,0.2341,0.0603,0.186,0.0372
HL1,Healthy control,healthy(deceased-donor),JUND,1640,0.1616,0.0384,0.1256,0.0226
HL1,Healthy control,healthy(deceased-donor),ATF3,1640,0.0787,0.0172,0.053,0.0128
HL1,Healthy control,healthy(deceased-donor),DUSP1,1640,0.4384,0.0951,0.278,0.0951
HL1,Healthy control,healthy(deceased-donor),HSPA1A,1640,1.3646,0.2748,0.5104,0.2841
HL1,Healthy control,healthy(deceased-donor),HSPA1B,1640,0.7152,0.1699,0.4183,0.1677
HL1,Healthy control,healthy(deceased-donor),stress_mod,1640,3.4732,0.7567,0.8049,0.603
HL2,Healthy control,healthy(deceased-donor),FOS,849,0.0165,0.0041,0.013,0.0012
HL2,Healthy control,healthy(deceased-donor),JUN,849,0.1402,0.0346,0.1095,0.0188
HL2,Healthy control,healthy(deceased-donor),JUNB,849,0.2709,0.0787,0.2155,0.0483
HL2,Healthy control,healthy(deceased-donor),JUND,849,0.0424,0.0147,0.04,0.0024
HL2,Healthy control,healthy(deceased-donor),ATF3,849,0.0742,0.0237,0.0636,0.0082
HL2,Healthy control,healthy(deceased-donor),DUSP1,849,0.3428,0.0918,0.2261,0.073
HL2,Healthy control,healthy(deceased-donor),HSPA1A,849,0.0636,0.0197,0.0577,0.0059
HL2,Healthy control,healthy(deceased-donor),HSPA1B,849,0.0318,0.0084,0.0318,0.0
HL2,Healthy control,healthy(deceased-donor),stress_mod,849,0.9823,0.2756,0.5324,0.2462
