cell_type,source,donor,program,nCells,dm_mean,det2
Hepatocytes,explant,CL18,HSP,8650,0.5212,0.3128
Hepatocytes,explant,CL18,HIF,8650,0.6114,0.5889
Hepatocytes,healthy,30,IEG,964,0.0184,0.0145
Hepatocytes,healthy,30,HSP,964,0.0044,0.001
Hepatocytes,healthy,30,HIF,964,0.5,0.8475
Hepatocytes,healthy,98,IEG,297,0.0652,0.0976
Hepatocytes,healthy,98,HSP,297,0.0072,0.0168
Hepatocytes,healthy,98,HIF,297,0.5571,0.8215
Hepatocytes,healthy,HL1,IEG,1640,0.3119,0.3232
Hepatocytes,healthy,HL1,HSP,1640,0.4457,0.4177
Hepatocytes,healthy,HL1,HIF,1640,1.0639,0.7579
Hepatocytes,healthy,HL2,IEG,849,0.2469,0.2191
Hepatocytes,healthy,HL2,HSP,849,0.0281,0.0094
Hepatocytes,healthy,HL2,HIF,849,1.0821,0.7326
Lymphocytes,biopsy,11,IEG,9,,0.2222
Lymphocytes,biopsy,11,HSP,9,,0.0
Lymphocytes,biopsy,11,HIF,9,,0.0
Lymphocytes,biopsy,12,IEG,3,1.0,0.0
Lymphocytes,biopsy,12,HSP,3,0.0,0.0
Lymphocytes,biopsy,12,HIF,3,0.0,0.3333
Lymphocytes,biopsy,15,IEG,8,0.0,0.0
Lymphocytes,biopsy,15,HSP,8,0.0,0.0
Lymphocytes,biopsy,15,HIF,8,0.125,0.0
Lymphocytes,biopsy,16,IEG,49,0.0345,0.0
Lymphocytes,biopsy,16,HSP,49,0.0,0.0
Lymphocytes,biopsy,16,HIF,49,0.2155,0.0204
Lymphocytes,biopsy,19,IEG,10,0.1562,0.0
Lymphocytes,biopsy,19,HSP,10,0.0,0.0
Lymphocytes,biopsy,19,HIF,10,0.2812,0.1
Lymphocytes,biopsy,20,IEG,52,0.0526,0.0
Lymphocytes,biopsy,20,HSP,52,0.0,0.0
Lymphocytes,biopsy,20,HIF,52,0.4079,0.0962
Lymphocytes,biopsy,21,IEG,69,0.05,0.0
Lymphocytes,biopsy,21,HSP,69,0.0111,0.0
Lymphocytes,biopsy,21,HIF,69,0.5444,0.1884
Lymphocytes,biopsy,22,IEG,21,0.2188,0.0476
Lymphocytes,biopsy,22,HSP,21,0.0625,0.0
Lymphocytes,biopsy,22,HIF,21,0.75,0.2857
Lymphocytes,biopsy,3,IEG,10,0.0,0.0
Lymphocytes,biopsy,3,HSP,10,0.0,0.0
Lymphocytes,biopsy,3,HIF,10,0.4643,0.2
Lymphocytes,biopsy,48,IEG,56,0.1447,0.0893
Lymphocytes,biopsy,48,HSP,56,0.0461,0.0
Lymphocytes,biopsy,48,HIF,56,0.5461,0.2857
Lymphocytes,biopsy,49,IEG,148,0.125,0.0338
Lymphocytes,biopsy,49,HSP,148,0.0353,0.0
Lymphocytes,biopsy,49,HIF,148,0.6875,0.2365
Lymphocytes,biopsy,50,IEG,256,0.1291,0.0312
Lymphocytes,biopsy,50,HSP,256,0.0343,0.0078
Lymphocytes,biopsy,50,HIF,256,0.4904,0.2227
Lymphocytes,biopsy,51,IEG,319,0.1812,0.0502
Lymphocytes,biopsy,51,HSP,319,0.0149,0.0031
Lymphocytes,biopsy,51,HIF,319,0.57,0.2351
Lymphocytes,biopsy,52,IEG,102,0.1179,0.0098
Lymphocytes,biopsy,52,HSP,102,0.0,0.0
Lymphocytes,biopsy,52,HIF,102,0.5142,0.1863
Lymphocytes,biopsy,53,IEG,55,0.0603,0.0
Lymphocytes,biopsy,53,HSP,55,0.0,0.0
Lymphocytes,biopsy,53,HIF,55,0.5603,0.2
Lymphocytes,biopsy,54,IEG,234,0.096,0.0128
Lymphocytes,biopsy,54,HSP,234,0.0232,0.0
Lymphocytes,biopsy,54,HIF,234,0.5381,0.2009
Lymphocytes,biopsy,55,IEG,97,0.1532,0.0619
Lymphocytes,biopsy,55,HSP,97,0.0161,0.0
Lymphocytes,biopsy,55,HIF,97,0.6089,0.1546
Lymphocytes,biopsy,56,IEG,169,0.2023,0.0296
Lymphocytes,biopsy,56,HSP,169,0.0295,0.0059
Lymphocytes,biopsy,56,HIF,169,0.5886,0.2012
Lymphocytes,biopsy,57,IEG,383,0.1441,0.0444
Lymphocytes,biopsy,57,HSP,383,0.0258,0.0078
Lymphocytes,biopsy,57,HIF,383,0.5641,0.2533
Lymphocytes,biopsy,6,IEG,72,0.0588,0.0
Lymphocytes,biopsy,6,HSP,72,0.0343,0.0
Lymphocytes,biopsy,6,HIF,72,0.348,0.1667
Lymphocytes,biopsy,60,IEG,33,0.1042,0.0
Lymphocytes,biopsy,60,HSP,33,0.0,0.0
Lymphocytes,biopsy,60,HIF,33,0.5625,0.2121
Lymphocytes,biopsy,62,IEG,9,0.0625,0.1111
Lymphocytes,biopsy,62,HSP,9,0.0,0.0
Lymphocytes,biopsy,62,HIF,9,0.5,0.1111
Lymphocytes,biopsy,64,IEG,112,0.1948,0.0268
Lymphocytes,biopsy,64,HSP,112,0.0584,0.0089
Lymphocytes,biopsy,64,HIF,112,0.5357,0.2589
Lymphocytes,biopsy,67,IEG,11,0.3636,0.0909
Lymphocytes,biopsy,67,HSP,11,0.0,0.0
Lymphocytes,biopsy,67,HIF,11,0.8409,0.1818
Lymphocytes,biopsy,68,IEG,21,0.1786,0.0476
Lymphocytes,biopsy,68,HSP,21,0.0,0.0
Lymphocytes,biopsy,68,HIF,21,0.6786,0.1429
Lymphocytes,biopsy,7,IEG,33,0.1058,0.0
Lymphocytes,biopsy,7,HSP,33,0.0288,0.0
Lymphocytes,biopsy,7,HIF,33,0.5288,0.2424
Lymphocytes,biopsy,70,IEG,116,0.18,0.0603
Lymphocytes,biopsy,70,HSP,116,0.0225,0.0
Lymphocytes,biopsy,70,HIF,116,0.7075,0.3448
Lymphocytes,biopsy,71,IEG,14,0.1562,0.0
Lymphocytes,biopsy,71,HSP,14,0.0,0.0
Lymphocytes,biopsy,71,HIF,14,0.375,0.0714
Lymphocytes,biopsy,72,IEG,383,0.1429,0.0183
Lymphocytes,biopsy,72,HSP,383,0.0224,0.0026
Lymphocytes,biopsy,72,HIF,383,0.5153,0.1671
Lymphocytes,biopsy,73,IEG,173,0.0984,0.0116
Lymphocytes,biopsy,73,HSP,173,0.0,0.0
Lymphocytes,biopsy,73,HIF,173,0.5106,0.1792
Lymphocytes,biopsy,75,IEG,128,0.075,0.0234
Lymphocytes,biopsy,75,HSP,128,0.0214,0.0
Lymphocytes,biopsy,75,HIF,128,0.5429,0.2344
Lymphocytes,biopsy,76,IEG,140,0.1562,0.0214
Lymphocytes,biopsy,76,HSP,140,0.0278,0.0
Lymphocytes,biopsy,76,HIF,140,0.4688,0.1143
Lymphocytes,biopsy,77,IEG,304,0.1039,0.023
Lymphocytes,biopsy,77,HSP,304,0.0329,0.0033
Lymphocytes,biopsy,77,HIF,304,0.4882,0.2401
Lymphocytes,biopsy,78,IEG,27,0.0962,0.037
Lymphocytes,biopsy,78,HSP,27,0.0,0.0
Lymphocytes,biopsy,78,HIF,27,0.4808,0.2222
Lymphocytes,biopsy,8,IEG,118,0.0577,0.0254
Lymphocytes,biopsy,8,HSP,118,0.0128,0.0
Lymphocytes,biopsy,8,HIF,118,0.359,0.1525
Lymphocytes,biopsy,83,IEG,56,0.2404,0.0179
Lymphocytes,biopsy,83,HSP,56,0.0096,0.0
Lymphocytes,biopsy,83,HIF,56,0.5385,0.1607
Lymphocytes,biopsy,84,IEG,13,0.0556,0.0
Lymphocytes,biopsy,84,HSP,13,0.0556,0.0
Lymphocytes,biopsy,84,HIF,13,0.6111,0.2308
Lymphocytes,biopsy,9,IEG,55,0.075,0.0182
Lymphocytes,biopsy,9,HSP,55,0.075,0.0
Lymphocytes,biopsy,9,HIF,55,0.4583,0.1636
Lymphocytes,explant,CL103,IEG,500,0.5201,0.148
Lymphocytes,explant,CL103,HSP,500,0.1159,0.018
Lymphocytes,explant,CL103,HIF,500,0.7318,0.206
Lymphocytes,explant,CL104,IEG,178,0.2521,0.0899
Lymphocytes,explant,CL104,HSP,178,0.1017,0.0281
Lymphocytes,explant,CL104,HIF,178,0.6589,0.2022
Lymphocytes,explant,CL16,IEG,315,0.7191,0.2317
Lymphocytes,explant,CL16,HSP,315,0.4892,0.127
Lymphocytes,explant,CL16,HIF,315,1.4651,0.3238
Lymphocytes,explant,CL17,IEG,76,0.4468,0.1579
Lymphocytes,explant,CL17,HSP,76,0.0798,0.0395
Lymphocytes,explant,CL17,HIF,76,0.5372,0.1974
Lymphocytes,explant,CL18,IEG,204,0.4103,0.1225
Lymphocytes,explant,CL18,HSP,204,0.1154,0.0392
Lymphocytes,explant,CL18,HIF,204,0.688,0.2304
Lymphocytes,healthy,30,IEG,4,0.0,0.0
Lymphocytes,healthy,30,HSP,4,0.0,0.0
Lymphocytes,healthy,30,HIF,4,0.4375,0.5
Lymphocytes,healthy,98,IEG,128,0.0964,0.0156
Lymphocytes,healthy,98,HSP,128,0.0391,0.0078
Lymphocytes,healthy,98,HIF,128,0.4141,0.2031
Lymphocytes,healthy,HL1,IEG,438,0.2462,0.0708
Lymphocytes,healthy,HL1,HSP,438,0.4574,0.153
Lymphocytes,healthy,HL1,HIF,438,1.1695,0.3493
Lymphocytes,healthy,HL2,IEG,44,0.0909,0.0
Lymphocytes,healthy,HL2,HSP,44,0.0,0.0227
Lymphocytes,healthy,HL2,HIF,44,0.9318,0.1818
Macrophages,biopsy,11,IEG,6,0.875,0.1667
Macrophages,biopsy,11,HSP,6,0.0,0.0
Macrophages,biopsy,11,HIF,6,0.375,0.1667
Macrophages,biopsy,12,IEG,15,0.1071,0.0667
Macrophages,biopsy,12,HSP,15,0.0,0.0
Macrophages,biopsy,12,HIF,15,0.3929,0.0667
Macrophages,biopsy,15,IEG,20,0.1,0.0
Macrophages,biopsy,15,HSP,20,0.0,0.0
Macrophages,biopsy,15,HIF,20,0.4167,0.3
Macrophages,biopsy,16,IEG,39,0.0,0.0
Macrophages,biopsy,16,HSP,39,0.0,0.0
Macrophages,biopsy,16,HIF,39,0.3966,0.1795
Macrophages,biopsy,19,IEG,27,0.1364,0.037
Macrophages,biopsy,19,HSP,27,0.0,0.0
Macrophages,biopsy,19,HIF,27,0.2955,0.2222
Macrophages,biopsy,20,IEG,109,0.0292,0.0
Macrophages,biopsy,20,HSP,109,0.0,0.0
Macrophages,biopsy,20,HIF,109,0.4708,0.2294
Macrophages,biopsy,21,IEG,124,0.059,0.0081
Macrophages,biopsy,21,HSP,124,0.0118,0.0
Macrophages,biopsy,21,HIF,124,0.5307,0.3387
Macrophages,biopsy,22,IEG,10,0.0,0.0
Macrophages,biopsy,22,HSP,10,0.0,0.0
Macrophages,biopsy,22,HIF,10,0.3125,0.0
Macrophages,biopsy,3,IEG,18,0.0536,0.0
Macrophages,biopsy,3,HSP,18,0.0,0.0
Macrophages,biopsy,3,HIF,18,0.6607,0.3333
Macrophages,biopsy,48,IEG,7,0.375,0.0
Macrophages,biopsy,48,HSP,7,0.0,0.0
Macrophages,biopsy,48,HIF,7,0.375,0.4286
Macrophages,biopsy,49,IEG,31,0.0431,0.0323
Macrophages,biopsy,49,HSP,31,0.0,0.0
Macrophages,biopsy,49,HIF,31,0.3621,0.2258
Macrophages,biopsy,50,IEG,63,0.1106,0.0476
Macrophages,biopsy,50,HSP,63,0.0048,0.0
Macrophages,biopsy,50,HIF,63,0.351,0.254
Macrophages,biopsy,51,IEG,52,0.0962,0.0385
Macrophages,biopsy,51,HSP,52,0.0385,0.0
Macrophages,biopsy,51,HIF,52,0.3782,0.2115
Macrophages,biopsy,52,IEG,24,0.1591,0.0
Macrophages,biopsy,52,HSP,24,0.0,0.0
Macrophages,biopsy,52,HIF,24,0.5455,0.1667
Macrophages,biopsy,53,IEG,11,0.0312,0.0
Macrophages,biopsy,53,HSP,11,0.0,0.0
Macrophages,biopsy,53,HIF,11,0.625,0.1818
Macrophages,biopsy,54,IEG,20,0.1,0.05
Macrophages,biopsy,54,HSP,20,0.15,0.05
Macrophages,biopsy,54,HIF,20,0.5667,0.25
Macrophages,biopsy,55,IEG,22,0.1538,0.0455
Macrophages,biopsy,55,HSP,22,0.0,0.0
Macrophages,biopsy,55,HIF,22,0.5,0.2727
Macrophages,biopsy,56,IEG,30,0.2143,0.0333
Macrophages,biopsy,56,HSP,30,0.0,0.0
Macrophages,biopsy,56,HIF,30,0.5,0.0667
Macrophages,biopsy,57,IEG,60,0.1467,0.05
Macrophages,biopsy,57,HSP,60,0.0217,0.0
Macrophages,biopsy,57,HIF,60,0.375,0.2333
Macrophages,biopsy,6,IEG,35,0.08,0.0286
Macrophages,biopsy,6,HSP,35,0.0,0.0
Macrophages,biopsy,6,HIF,35,0.7,0.3429
Macrophages,biopsy,60,IEG,1,,0.0
Macrophages,biopsy,60,HSP,1,,0.0
Macrophages,biopsy,60,HIF,1,,0.0
Macrophages,biopsy,62,IEG,2,0.0,0.0
Macrophages,biopsy,62,HSP,2,0.0,0.0
Macrophages,biopsy,62,HIF,2,1.0,0.5
Macrophages,biopsy,64,IEG,11,0.1875,0.0909
Macrophages,biopsy,64,HSP,11,0.0,0.0
Macrophages,biopsy,64,HIF,11,0.6875,0.3636
Macrophages,biopsy,67,IEG,3,0.0,0.0
Macrophages,biopsy,67,HSP,3,0.0,0.0
Macrophages,biopsy,67,HIF,3,0.9167,0.6667
Macrophages,biopsy,68,IEG,22,0.0,0.0
Macrophages,biopsy,68,HSP,22,0.1364,0.0455
Macrophages,biopsy,68,HIF,22,0.4773,0.2727
Macrophages,biopsy,7,IEG,32,0.0833,0.0
Macrophages,biopsy,7,HSP,32,0.0,0.0
Macrophages,biopsy,7,HIF,32,0.3229,0.1875
Macrophages,biopsy,70,IEG,29,0.1852,0.1724
Macrophages,biopsy,70,HSP,29,0.0,0.0
Macrophages,biopsy,70,HIF,29,0.5741,0.4138
Macrophages,biopsy,71,IEG,4,0.0,0.0
Macrophages,biopsy,71,HSP,4,0.0,0.0
Macrophages,biopsy,71,HIF,4,2.125,0.5
Macrophages,biopsy,72,IEG,250,0.0693,0.06
Macrophages,biopsy,72,HSP,250,0.021,0.0
Macrophages,biopsy,72,HIF,250,0.4542,0.3
Macrophages,biopsy,73,IEG,135,0.0761,0.0148
Macrophages,biopsy,73,HSP,135,0.0027,0.0
Macrophages,biopsy,73,HIF,135,0.2391,0.1185
Macrophages,biopsy,75,IEG,39,0.1522,0.0769
Macrophages,biopsy,75,HSP,39,0.0,0.0
Macrophages,biopsy,75,HIF,39,0.5,0.3077
Macrophages,biopsy,76,IEG,132,0.125,0.0379
Macrophages,biopsy,76,HSP,132,0.0074,0.0
Macrophages,biopsy,76,HIF,132,0.5049,0.3636
Macrophages,biopsy,77,IEG,44,0.1048,0.0227
Macrophages,biopsy,77,HSP,44,0.0,0.0
Macrophages,biopsy,77,HIF,44,0.4113,0.25
Macrophages,biopsy,78,IEG,5,0.0,0.0
Macrophages,biopsy,78,HSP,5,0.0,0.0
Macrophages,biopsy,78,HIF,5,0.5,0.0
Macrophages,biopsy,8,IEG,105,0.086,0.0286
Macrophages,biopsy,8,HSP,105,0.0161,0.0
Macrophages,biopsy,8,HIF,105,0.3548,0.2286
Macrophages,biopsy,83,IEG,5,0.0625,0.0
Macrophages,biopsy,83,HSP,5,0.0,0.0
Macrophages,biopsy,83,HIF,5,0.5625,0.4
Macrophages,biopsy,84,IEG,8,0.4643,0.0
Macrophages,biopsy,84,HSP,8,0.0,0.0
Macrophages,biopsy,84,HIF,8,0.7857,0.125
Macrophages,biopsy,9,IEG,94,0.1157,0.0319
Macrophages,biopsy,9,HSP,94,0.0185,0.0
Macrophages,biopsy,9,HIF,94,0.4676,0.117
Macrophages,explant,CL103,IEG,344,0.6345,0.2849
Macrophages,explant,CL103,HSP,344,0.1325,0.0552
Macrophages,explant,CL103,HIF,344,0.6225,0.2616
Macrophages,explant,CL104,IEG,141,0.3905,0.1631
Macrophages,explant,CL104,HSP,141,0.2004,0.0709
Macrophages,explant,CL104,HIF,141,1.2314,0.383
Macrophages,explant,CL16,IEG,192,0.9578,0.4167
Macrophages,explant,CL16,HSP,192,0.7662,0.2552
Macrophages,explant,CL16,HIF,192,2.2094,0.5521
Macrophages,explant,CL17,IEG,89,0.6761,0.2809
Macrophages,explant,CL17,HSP,89,0.1549,0.0787
Macrophages,explant,CL17,HIF,89,0.4155,0.2809
Macrophages,explant,CL18,IEG,241,0.6223,0.278
Macrophages,explant,CL18,HSP,241,0.2418,0.0913
Macrophages,explant,CL18,HIF,241,0.6495,0.2365
Macrophages,healthy,30,IEG,8,0.0312,0.0
Macrophages,healthy,30,HSP,8,0.0,0.0
Macrophages,healthy,30,HIF,8,0.7812,1.0
Macrophages,healthy,98,IEG,66,0.0591,0.0758
Macrophages,healthy,98,HSP,66,0.0,0.0
Macrophages,healthy,98,HIF,66,0.35,0.2576
Macrophages,healthy,HL1,IEG,218,0.2229,0.0963
Macrophages,healthy,HL1,HSP,218,0.1717,0.055
Macrophages,healthy,HL1,HIF,218,0.4247,0.211
Macrophages,healthy,HL2,IEG,71,0.3393,0.1268
Macrophages,healthy,HL2,HSP,71,0.0625,0.0141
Macrophages,healthy,HL2,HIF,71,0.4018,0.1831
Stellate,biopsy,11,IEG,13,0.0357,0.0
Stellate,biopsy,11,HSP,13,0.1071,0.0
Stellate,biopsy,11,HIF,13,0.3214,0.1538
Stellate,biopsy,12,IEG,26,0.3194,0.1154
Stellate,biopsy,12,HSP,26,0.0,0.0
Stellate,biopsy,12,HIF,26,0.4167,0.1154
Stellate,biopsy,15,IEG,21,0.0125,0.0
Stellate,biopsy,15,HSP,21,0.0,0.0
Stellate,biopsy,15,HIF,21,0.2125,0.1429
Stellate,biopsy,16,IEG,58,0.0463,0.0
Stellate,biopsy,16,HSP,58,0.0,0.0
Stellate,biopsy,16,HIF,58,0.3333,0.2241
Stellate,biopsy,19,IEG,35,0.0147,0.0286
Stellate,biopsy,19,HSP,35,0.0074,0.0286
Stellate,biopsy,19,HIF,35,0.2794,0.2286
Stellate,biopsy,20,IEG,140,0.0255,0.0071
Stellate,biopsy,20,HSP,140,0.0069,0.0071
Stellate,biopsy,20,HIF,140,0.3403,0.2071
Stellate,biopsy,21,IEG,209,0.0615,0.0239
Stellate,biopsy,21,HSP,209,0.0103,0.0
Stellate,biopsy,21,HIF,209,0.4077,0.2488
Stellate,biopsy,22,IEG,28,0.05,0.0
Stellate,biopsy,22,HSP,28,0.0,0.0
Stellate,biopsy,22,HIF,28,0.425,0.0714
Stellate,biopsy,3,IEG,20,0.025,0.0
Stellate,biopsy,3,HSP,20,0.0,0.0
Stellate,biopsy,3,HIF,20,0.2375,0.25
Stellate,biopsy,48,IEG,4,0.25,0.0
Stellate,biopsy,48,HSP,4,0.0,0.0
Stellate,biopsy,48,HIF,4,0.3333,0.5
Stellate,biopsy,49,IEG,23,0.0526,0.0435
Stellate,biopsy,49,HSP,23,0.0,0.0
Stellate,biopsy,49,HIF,23,0.4868,0.2174
Stellate,biopsy,50,IEG,97,0.0852,0.0928
Stellate,biopsy,50,HSP,97,0.0,0.0
Stellate,biopsy,50,HIF,97,0.3407,0.3196
Stellate,biopsy,51,IEG,79,0.0806,0.0
Stellate,biopsy,51,HSP,79,0.0,0.0
Stellate,biopsy,51,HIF,79,0.2984,0.1519
Stellate,biopsy,52,IEG,21,0.0625,0.0
Stellate,biopsy,52,HSP,21,0.0,0.0
Stellate,biopsy,52,HIF,21,0.2292,0.0476
Stellate,biopsy,53,IEG,13,0.2188,0.0
Stellate,biopsy,53,HSP,13,0.0,0.0
Stellate,biopsy,53,HIF,13,0.4062,0.1538
Stellate,biopsy,54,IEG,37,0.0517,0.0
Stellate,biopsy,54,HSP,37,0.0,0.0
Stellate,biopsy,54,HIF,37,0.4483,0.2432
Stellate,biopsy,55,IEG,56,0.0707,0.0357
Stellate,biopsy,55,HSP,56,0.0,0.0
Stellate,biopsy,55,HIF,56,0.3696,0.2321
Stellate,biopsy,56,IEG,120,0.0618,0.0
Stellate,biopsy,56,HSP,120,0.0,0.0
Stellate,biopsy,56,HIF,120,0.25,0.1
Stellate,biopsy,57,IEG,98,0.0791,0.0204
Stellate,biopsy,57,HSP,98,0.0127,0.0
Stellate,biopsy,57,HIF,98,0.4399,0.2653
Stellate,biopsy,6,IEG,90,0.0452,0.0222
Stellate,biopsy,6,HSP,90,0.003,0.0
Stellate,biopsy,6,HIF,90,0.3645,0.2667
Stellate,biopsy,60,IEG,31,0.0,0.0
Stellate,biopsy,60,HSP,31,0.0,0.0
Stellate,biopsy,60,HIF,31,0.3289,0.1613
Stellate,biopsy,62,IEG,7,0.0,0.0
Stellate,biopsy,62,HSP,7,0.0,0.0
Stellate,biopsy,62,HIF,7,0.1875,0.1429
Stellate,biopsy,64,IEG,38,0.0234,0.0
Stellate,biopsy,64,HSP,38,0.0,0.0
Stellate,biopsy,64,HIF,38,0.2344,0.1316
Stellate,biopsy,67,IEG,25,0.1,0.0
Stellate,biopsy,67,HSP,25,0.0,0.0
Stellate,biopsy,67,HIF,25,0.54,0.2
Stellate,biopsy,68,IEG,52,0.06,0.0192
Stellate,biopsy,68,HSP,52,0.0,0.0
Stellate,biopsy,68,HIF,52,0.43,0.1538
Stellate,biopsy,7,IEG,99,0.0357,0.0404
Stellate,biopsy,7,HSP,99,0.003,0.0
Stellate,biopsy,7,HIF,99,0.4613,0.3333
Stellate,biopsy,70,IEG,25,0.0568,0.04
Stellate,biopsy,70,HSP,25,0.0,0.0
Stellate,biopsy,70,HIF,25,0.5455,0.24
Stellate,biopsy,71,IEG,1,,0.0
Stellate,biopsy,71,HSP,1,,0.0
Stellate,biopsy,71,HIF,1,,0.0
Stellate,biopsy,72,IEG,216,0.0383,0.0278
Stellate,biopsy,72,HSP,216,0.0055,0.0
Stellate,biopsy,72,HIF,216,0.2801,0.2361
Stellate,biopsy,73,IEG,152,0.036,0.0066
Stellate,biopsy,73,HSP,152,0.014,0.0
Stellate,biopsy,73,HIF,152,0.252,0.1579
Stellate,biopsy,75,IEG,95,0.0972,0.0316
Stellate,biopsy,75,HSP,95,0.0069,0.0
Stellate,biopsy,75,HIF,95,0.3681,0.1895
Stellate,biopsy,76,IEG,35,0.0,0.0286
Stellate,biopsy,76,HSP,35,0.0333,0.0
Stellate,biopsy,76,HIF,35,0.25,0.2857
Stellate,biopsy,77,IEG,12,0.075,0.0
Stellate,biopsy,77,HSP,12,0.1,0.0
Stellate,biopsy,77,HIF,12,0.325,0.5
Stellate,biopsy,78,IEG,5,0.0,0.0
Stellate,biopsy,78,HSP,5,0.0,0.0
Stellate,biopsy,78,HIF,5,0.6667,0.4
Stellate,biopsy,8,IEG,128,0.0565,0.0312
Stellate,biopsy,8,HSP,128,0.0,0.0
Stellate,biopsy,8,HIF,128,0.3043,0.2109
Stellate,biopsy,83,IEG,9,0.0,0.0
Stellate,biopsy,83,HSP,9,0.0,0.0
Stellate,biopsy,83,HIF,9,0.3214,0.0
Stellate,biopsy,84,IEG,19,0.0312,0.0
Stellate,biopsy,84,HSP,19,0.0,0.0
Stellate,biopsy,84,HIF,19,0.2656,0.1053
Stellate,biopsy,9,IEG,149,0.0192,0.0
Stellate,biopsy,9,HSP,149,0.0,0.0
Stellate,biopsy,9,HIF,149,0.3341,0.1275
Stellate,explant,CL103,IEG,327,1.208,0.4434
Stellate,explant,CL103,HSP,327,0.1117,0.0459
Stellate,explant,CL103,HIF,327,0.6803,0.3058
Stellate,explant,CL104,IEG,134,0.2542,0.1418
Stellate,explant,CL104,HSP,134,0.1345,0.0373
Stellate,explant,CL104,HIF,134,0.6113,0.3433
Stellate,explant,CL16,IEG,101,1.0719,0.396
Stellate,explant,CL16,HSP,101,0.25,0.1287
Stellate,explant,CL16,HIF,101,2.5031,0.7525
Stellate,explant,CL17,IEG,137,0.6986,0.2555
Stellate,explant,CL17,HSP,137,0.0491,0.0146
Stellate,explant,CL17,HIF,137,0.4252,0.2044
Stellate,explant,CL18,IEG,247,0.4578,0.1984
Stellate,explant,CL18,HSP,247,0.0776,0.0243
Stellate,explant,CL18,HIF,247,0.3413,0.166
Stellate,healthy,30,IEG,16,0.0625,0.0625
Stellate,healthy,30,HSP,16,0.0,0.0
Stellate,healthy,30,HIF,16,0.2344,0.375
Stellate,healthy,98,IEG,35,0.0185,0.0286
Stellate,healthy,98,HSP,35,0.0,0.0
Stellate,healthy,98,HIF,35,0.1852,0.2
Stellate,healthy,HL1,IEG,252,0.2875,0.1349
Stellate,healthy,HL1,HSP,252,1.1056,0.377
Stellate,healthy,HL1,HIF,252,0.5375,0.254
Stellate,healthy,HL2,IEG,58,0.3357,0.1379
Stellate,healthy,HL2,HSP,58,0.4214,0.2069
Stellate,healthy,HL2,HIF,58,0.6214,0.2241
